Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,194.51142368228062,234.7055722087628,219.26389674452247,187.19527067164893,149.8745405767941,128.07208303584952,100.63167303822938,101.38040251192383,114.00012677496963,182.5022512266582,241.51100964762938,239.77143888974877
2016,246.81197724684156,191.98548924681762,158.63003605388678,164.5578325487635,142.43386664816487,124.80092453882962,95.17351250359299,74.7120705025765,83.29940447717753,152.91110163942233,226.39013272251734,233.61226510850818
2017,208.89272891352692,187.05343648607513,149.49512072434607,147.98808253508457,146.6134551078714,114.77372392005563,91.19945101319527,89.03940376955612,103.6471236339973,168.05862585348154,216.24383366064652,204.43874422190126
2018,207.09200522415335,177.22202707772055,160.25272649984413,142.05750965758426,143.57735992502245,127.01853528983008,78.1378660050653,80.7326413528888,91.07034396461414,157.47003742473956,201.29991345604492,211.08619141559456
2019,203.19405546146515,155.10112163835484,134.5460658761311,144.53071539077547,149.51633648571786,123.91102648832486,87.21891676366835,70.2926438411892,72.38594652055814,139.03710738288905,184.24211019022022,181.5785594519498
2020,156.21328366978062,143.8954271713958,99.31054696646527,86.03103166392441,93.44704407466698,77.78733281607371,60.51040118016017,52.44286979627989,77.63954189270645,146.7745485327314,178.38691796008868,179.1357180431352
2021,172.11366571945234,156.15074250490332,141.68845863716368,125.74823529411765,90.85385226370136,85.69234842467567,68.81324859447568,67.35150784077202,57.20171890798787,108.7850049652433,184.0070972320795,177.87284573350146
2022,153.7980367585631,137.43272135719266,143.66464561990384,139.67834960070985,122.26475620188195,105.77294792586055,61.06227340584346,64.3240235195296,69.6539748953975,110.43004982752012,163.3281190385349,172.82883205151137
2023,170.78676988036594,144.17861142217245,114.17280853065705,113.88524590163935,102.31106173623235,87.98415465061005,64.45815836832634,76.68538337487172,70.6042764643879,113.99051663128097,166.63419674841555,152.02792251169004
2024,157.62696929238984,120.88418772563178,108.91268794513321,111.17305540011192,108.41564691324075,89.75800815375655,62.150704225352115,55.23673469387755,63.14871226806979,98.65885383129427,153.13706438657857,131.50589482050603
2025,131.3696547805086,112.8703300124533,105.54002808988764,99.39297361399348,80.51417544901291,71.88264208909371,56.91480488531427,,,,,
